City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
1,Comodoro Rivadavia,AR,71.6,broken clouds,-45.8667,-67.5,Austral Hotel
3,Santa Catalina,PH,80.6,broken clouds,9.3337,122.8637,Don Pacondo
5,Pastos Bons,BR,79.21,overcast clouds,-6.6017,-44.0767,Área de lazer casa (Pucina)
6,Hermanus,ZA,75.99,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
13,Yeppoon,AU,78.8,scattered clouds,-23.1333,150.7333,Villa Mar Colina
16,Busselton,AU,69.94,clear sky,-33.65,115.3333,Observatory Guest House
17,Kapaa,US,69.8,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
19,Serra Talhada,BR,85.06,broken clouds,-7.9919,-38.2983,Pousada São Luiz
23,Butaritari,KI,80.76,light rain,3.0707,172.7902,Isles Sunset Lodge
24,Bredasdorp,ZA,77.0,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
27,Port Hedland,AU,89.6,broken clouds,-20.3167,118.5667,The Esplanade Hotel
28,Ambon,ID,80.6,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
30,Rikitea,PF,77.47,broken clouds,-23.1203,-134.9692,Pension Maro'i
33,Kruisfontein,ZA,78.01,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
34,Kendari,ID,77.59,overcast clouds,-3.945,122.4989,Hotel Wixel
36,Luanda,AO,82.4,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
38,Cabedelo,BR,82.4,broken clouds,-6.9811,-34.8339,Hotel Pigalle
39,Castro,BR,64.11,light rain,-24.7911,-50.0119,CHACARA BAILLY
40,Victoria,HK,62.01,broken clouds,22.2855,114.1577,Mini Hotel Central
43,Puerto Ayora,EC,73.0,broken clouds,-0.7393,-90.3518,Castillo Galapagos
47,Champerico,GT,71.6,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
52,Cabo San Lucas,MX,66.99,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
53,Waddan,LY,60.03,clear sky,29.1614,16.139,محل الشريف محمد العايب
54,Dingle,PH,73.27,light rain,10.9995,122.6711,SEGAYA PROPERTY
56,Faanui,PF,81.0,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
57,Kerman,IR,62.6,clear sky,30.2832,57.0788,هتل آپارتمان آسام
58,Vaini,TO,77.0,few clouds,-21.2,-175.2,Keleti Beach Resort
60,Ponta Do Sol,PT,66.2,scattered clouds,32.6667,-17.1,Hotel do Campo
61,San Cristobal,VE,77.0,light rain,7.7669,-72.225,Pirineos
62,Ugoofaaru,MV,81.88,clear sky,5.6667,73.0,Ungoofaaru Inn
63,Villarrica,PY,75.99,few clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
64,Cape Town,ZA,77.0,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
70,Mar Del Plata,AR,75.2,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
71,Acari,PE,75.31,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
72,Beeville,US,68.0,overcast clouds,28.4008,-97.7483,Holiday Inn Express & Suites Beeville
74,Singkang,MY,78.8,few clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
75,Plettenberg Bay,ZA,70.79,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
78,Seoni,IN,73.69,clear sky,22.0833,79.5333,STARiHOTELS Nehru Road Seoni
79,Vila Franca Do Campo,PT,62.01,few clouds,37.7167,-25.4333,Pestana Bahia Praia
80,Hithadhoo,MV,81.52,overcast clouds,-0.6,73.0833,Scoop Guest House
81,Avarua,CK,82.4,few clouds,-21.2078,-159.775,Paradise Inn
82,Esperance,AU,80.6,clear sky,-33.8667,121.9,Hospitality Esperance
85,Port Alfred,ZA,75.0,clear sky,-33.5906,26.891,The Halyards Hotel
86,Harper,LR,84.04,light rain,4.375,-7.7169,Screensaver
90,Pochutla,MX,68.0,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
91,Atuona,PF,77.72,clear sky,-9.8,-139.0333,Villa Enata
92,Souillac,MU,86.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
94,Knysna,ZA,68.0,overcast clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
95,Carnarvon,AU,78.8,clear sky,-24.8667,113.6333,Hospitality Carnarvon
96,Saint-Philippe,RE,89.6,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
98,Ancud,CL,64.4,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
100,Katherine,AU,78.8,light rain,-14.4667,132.2667,Pine Tree Motel
104,San Juan,AR,81.99,clear sky,-31.5375,-68.5364,Hotel Provincial
105,Sal Rei,CV,75.2,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
108,Bathsheba,BB,80.6,few clouds,13.2167,-59.5167,Atlantis Hotel
109,Airai,TL,62.49,moderate rain,-8.9266,125.4092,Juvinal Martin
110,Padang,ID,78.8,few clouds,-0.9492,100.3543,Mercure Padang
111,Meulaboh,ID,78.51,overcast clouds,4.1363,96.1285,Kost Pria
114,Flinders,AU,64.0,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
122,Vao,NC,79.32,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
127,Bambous Virieux,MU,86.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
129,Sao Joao Da Barra,BR,87.8,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
131,Iquique,CL,69.8,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
133,Arraial Do Cabo,BR,86.0,clear sky,-22.9661,-42.0278,Pousada Porto Praia
134,Georgetown,MY,84.2,few clouds,5.4112,100.3354,Cititel Penang
135,Chilca,PE,73.0,clear sky,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
137,Port Hueneme,US,61.0,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
139,Luwuk,ID,79.7,light rain,-0.9516,122.7875,Hotel Santika Luwuk
144,San Carlos De Bariloche,AR,64.4,clear sky,-41.1456,-71.3082,Hotel Patagonia
145,Nishihara,JP,60.8,few clouds,26.1842,127.7558,Minshuku Agaihama
