City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
0,Luderitz,NA,-26.6481,15.1594,77.56,47,0,29.62,clear sky
1,Comodoro Rivadavia,AR,-45.8667,-67.5,71.6,60,75,4.61,broken clouds
2,Grindavik,IS,63.8424,-22.4338,30.2,86,75,26.46,broken clouds
3,Santa Catalina,PH,9.3337,122.8637,80.6,83,75,6.91,broken clouds
4,Saint-Medard-En-Jalles,FR,44.8969,-0.7214,57.0,58,0,5.75,clear sky
5,Pastos Bons,BR,-6.6017,-44.0767,79.21,80,100,5.17,overcast clouds
6,Hermanus,ZA,-34.4187,19.2345,75.99,57,24,8.01,few clouds
7,Bluff,NZ,-46.6,168.3333,46.0,88,100,11.99,light rain
8,Punta Arenas,CL,-53.15,-70.9167,55.4,58,75,10.36,broken clouds
9,Dapaong,TG,10.8639,0.205,94.03,10,0,10.85,clear sky
10,Klaksvik,FO,62.2266,-6.589,39.2,75,24,10.36,few clouds
11,Ha Tinh,VN,18.3333,105.9,57.56,83,41,3.09,scattered clouds
12,Sitka,US,57.0531,-135.33,39.2,81,90,17.27,light snow
13,Yeppoon,AU,-23.1333,150.7333,78.8,73,39,5.73,scattered clouds
14,Vardo,NO,70.3705,31.1107,26.6,80,75,23.02,light snow
15,Kropotkin,RU,45.4375,40.5756,24.08,95,100,8.9,overcast clouds
16,Busselton,AU,-33.65,115.3333,69.94,81,0,6.62,clear sky
17,Kapaa,US,22.0752,-159.319,69.8,83,90,29.93,light rain
18,Khatanga,RU,71.9667,102.5,-35.66,81,55,8.86,broken clouds
19,Serra Talhada,BR,-7.9919,-38.2983,85.06,41,77,9.6,broken clouds
20,Normandin,CA,48.8333,-72.5321,-9.4,84,2,3.44,clear sky
21,Egvekinot,RU,66.3167,-179.1667,-21.41,86,75,2.06,broken clouds
22,Torbay,CA,47.6666,-52.7314,37.0,100,90,4.61,mist
23,Butaritari,KI,3.0707,172.7902,80.76,83,100,18.01,light rain
24,Bredasdorp,ZA,-34.5322,20.0403,77.0,50,40,23.02,scattered clouds
25,Hobart,AU,-42.8794,147.3294,51.8,50,40,10.36,scattered clouds
26,Barrow,US,71.2906,-156.7887,1.4,71,90,27.63,snow
27,Port Hedland,AU,-20.3167,118.5667,89.6,66,84,9.22,broken clouds
28,Ambon,ID,-3.6954,128.1814,80.6,83,40,10.36,scattered clouds
29,Hofn,IS,64.2539,-15.2082,35.69,80,0,20.15,clear sky
30,Rikitea,PF,-23.1203,-134.9692,77.47,75,56,14.27,broken clouds
31,New Norfolk,AU,-42.7826,147.0587,51.8,50,40,10.36,scattered clouds
32,Ushuaia,AR,-54.8,-68.3,51.8,62,40,18.41,scattered clouds
33,Kruisfontein,ZA,-34.0033,24.7314,78.01,70,58,13.0,broken clouds
34,Kendari,ID,-3.945,122.4989,77.59,83,100,2.17,overcast clouds
35,Mayo,US,38.8876,-76.5119,35.6,55,1,4.61,clear sky
36,Luanda,AO,-8.8368,13.2343,82.4,65,75,6.91,broken clouds
37,Severo-Kurilsk,RU,50.6789,156.125,14.77,89,89,24.47,light snow
38,Cabedelo,BR,-6.9811,-34.8339,82.4,74,75,6.91,broken clouds
39,Castro,BR,-24.7911,-50.0119,64.11,97,100,8.43,light rain
40,Victoria,HK,22.2855,114.1577,62.01,75,83,1.99,broken clouds
41,Tasiilaq,GL,65.6145,-37.6368,21.2,53,20,16.11,few clouds
42,Ilulissat,GL,69.2167,-51.1,19.4,68,75,2.3,broken clouds
43,Puerto Ayora,EC,-0.7393,-90.3518,73.0,99,65,3.85,broken clouds
44,Qaanaaq,GL,77.484,-69.3632,2.57,77,0,7.9,clear sky
45,Mataura,NZ,-46.1927,168.8643,46.0,88,12,11.99,moderate rain
46,Dikson,RU,73.5069,80.5464,-20.15,88,89,15.88,overcast clouds
47,Champerico,GT,14.3,-91.9167,71.6,88,0,4.68,clear sky
48,Albany,US,42.6001,-73.9662,28.0,78,90,1.57,overcast clouds
49,Tansen,NP,27.8673,83.5467,51.75,78,50,0.6,scattered clouds
50,Narsaq,GL,60.9167,-46.05,23.0,58,75,4.61,broken clouds
51,Chokurdakh,RU,70.6333,147.9167,-36.38,83,13,5.08,few clouds
52,Cabo San Lucas,MX,22.8909,-109.9124,66.99,72,1,6.91,clear sky
53,Waddan,LY,29.1614,16.139,60.03,42,4,11.34,clear sky
54,Dingle,PH,10.9995,122.6711,73.27,89,100,5.93,light rain
55,Izmir,TR,38.4622,27.0923,44.6,33,40,6.91,scattered clouds
56,Faanui,PF,-16.4833,-151.75,81.0,74,7,14.14,clear sky
57,Kerman,IR,30.2832,57.0788,62.6,5,0,4.61,clear sky
58,Vaini,TO,-21.2,-175.2,77.0,94,20,6.96,few clouds
59,North Bend,US,43.4065,-124.2243,41.0,93,1,4.61,clear sky
60,Ponta Do Sol,PT,32.6667,-17.1,66.2,59,40,23.02,scattered clouds
61,San Cristobal,VE,7.7669,-72.225,77.0,78,40,2.3,light rain
62,Ugoofaaru,MV,5.6667,73.0,81.88,73,0,11.32,clear sky
63,Villarrica,PY,-25.75,-56.4333,75.99,64,19,4.54,few clouds
64,Cape Town,ZA,-33.9258,18.4232,77.0,47,20,19.57,few clouds
65,Omsukchan,RU,62.5333,155.8,-42.63,77,85,5.7,overcast clouds
66,Provideniya,RU,64.3833,-173.3,-9.13,87,97,6.08,overcast clouds
67,Upernavik,GL,72.7868,-56.1549,9.16,76,98,9.4,overcast clouds
68,Siderno,IT,38.2779,16.302,57.2,41,0,8.05,clear sky
69,Asau,RO,46.4333,26.4,23.0,86,75,10.36,broken clouds
70,Mar Del Plata,AR,-38.0023,-57.5575,75.2,57,0,3.44,clear sky
71,Acari,PE,-15.4311,-74.6158,75.31,61,54,4.27,broken clouds
72,Beeville,US,28.4008,-97.7483,68.0,100,90,9.22,overcast clouds
73,Khor,RU,47.8861,134.9464,-13.47,86,0,10.4,clear sky
74,Singkang,MY,2.1006,102.7994,78.8,73,20,6.91,few clouds
75,Plettenberg Bay,ZA,-34.0527,23.3716,70.79,73,98,12.8,overcast clouds
76,Ryabovo,RU,59.4,31.1333,23.0,86,40,2.24,light snow
77,Yar-Sale,RU,66.8333,70.8333,-17.75,87,100,8.9,overcast clouds
78,Seoni,IN,22.0833,79.5333,73.69,44,6,6.46,clear sky
79,Vila Franca Do Campo,PT,37.7167,-25.4333,62.01,77,20,28.77,few clouds
80,Hithadhoo,MV,-0.6,73.0833,81.52,70,100,9.73,overcast clouds
81,Avarua,CK,-21.2078,-159.775,82.4,78,20,6.91,few clouds
82,Esperance,AU,-33.8667,121.9,80.6,41,0,16.11,clear sky
83,Qasigiannguit,GL,68.8193,-51.1922,19.4,68,75,2.3,broken clouds
84,Yellowknife,CA,62.456,-114.3525,5.0,85,90,18.41,light snow
85,Port Alfred,ZA,-33.5906,26.891,75.0,80,0,11.99,clear sky
86,Harper,LR,4.375,-7.7169,84.04,68,24,4.76,light rain
87,Bethel,US,41.3712,-73.414,32.0,80,20,6.91,few clouds
88,Kharp,RU,66.8014,65.8081,-23.3,81,37,2.57,scattered clouds
89,Seddon,AU,-37.8068,144.8916,59.0,62,75,10.36,broken clouds
90,Pochutla,MX,15.7432,-96.4661,68.0,84,70,1.99,broken clouds
91,Atuona,PF,-9.8,-139.0333,77.72,73,2,16.89,clear sky
92,Souillac,MU,-20.5167,57.5167,86.0,74,75,16.11,light rain
93,Roma,US,43.2128,-75.4557,25.0,80,90,4.61,mist
94,Knysna,ZA,-34.0363,23.0471,68.0,88,90,11.5,overcast clouds
95,Carnarvon,AU,-24.8667,113.6333,78.8,83,0,17.27,clear sky
96,Saint-Philippe,RE,-21.3585,55.7679,89.6,62,75,6.91,broken clouds
97,Mehamn,NO,71.0357,27.8492,26.6,68,75,9.22,light snow
98,Ancud,CL,-41.8697,-73.8203,64.4,68,40,3.44,scattered clouds
99,Clyde River,CA,70.4692,-68.5914,-0.4,85,90,2.3,overcast clouds
100,Katherine,AU,-14.4667,132.2667,78.8,94,75,8.05,light rain
101,Olafsvik,IS,64.8945,-23.7142,30.42,91,100,25.88,light snow
102,Kaitangata,NZ,-46.2817,169.8464,46.6,73,3,9.98,clear sky
103,Ordu,TR,40.9086,37.6845,42.8,39,20,4.61,few clouds
104,San Juan,AR,-31.5375,-68.5364,81.99,26,0,1.57,clear sky
105,Sal Rei,CV,16.1833,-22.9167,75.2,53,100,14.97,overcast clouds
106,Cherskiy,RU,68.75,161.3,-41.55,80,100,7.23,overcast clouds
107,Strelka,RU,58.0728,93.0344,-5.31,91,100,3.44,overcast clouds
108,Bathsheba,BB,13.2167,-59.5167,80.6,69,20,26.46,few clouds
109,Airai,TL,-8.9266,125.4092,62.49,100,100,1.63,moderate rain
110,Padang,ID,-0.9492,100.3543,78.8,83,20,2.3,few clouds
111,Meulaboh,ID,4.1363,96.1285,78.51,83,100,3.11,overcast clouds
112,Lavrentiya,RU,65.5833,-171.0,-15.2,83,17,6.91,few clouds
113,Torva,EE,58.0028,25.935,21.99,86,0,4.61,clear sky
114,Flinders,AU,-34.5833,150.8552,64.0,81,100,1.01,overcast clouds
115,Tuatapere,NZ,-46.1333,167.6833,46.0,88,100,11.99,overcast clouds
116,Saskylakh,RU,71.9167,114.0833,-26.21,85,100,5.14,light snow
117,Gallup,US,35.5281,-108.7426,32.0,80,90,16.11,snow
118,Owando,CG,-0.4819,15.8999,90.7,49,90,2.98,light rain
119,Bilibino,RU,68.0546,166.4372,-39.84,78,97,1.61,overcast clouds
120,Onalaska,US,43.8844,-91.2351,24.8,74,90,4.61,overcast clouds
121,Tazovskiy,RU,67.4667,78.7,-12.33,90,100,7.63,overcast clouds
122,Vao,NC,-22.6667,167.4833,79.32,86,100,7.4,moderate rain
123,Lapua,FI,62.9693,23.0088,30.0,99,97,3.89,overcast clouds
124,Leningradskiy,RU,69.3833,178.4167,-17.3,87,100,15.28,light snow
125,Isla Vista,US,34.4133,-119.861,57.2,82,90,6.91,overcast clouds
126,Belyy Yar,RU,53.6039,91.3903,10.4,52,0,6.71,clear sky
127,Bambous Virieux,MU,-20.3428,57.7575,86.0,74,75,16.11,broken clouds
128,Dukat,RU,62.55,155.55,-43.1,79,97,5.23,overcast clouds
129,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.8,51,0,3.44,clear sky
130,Petrozavodsk,RU,61.7849,34.3469,26.6,86,75,6.71,snow
131,Iquique,CL,-20.2208,-70.1431,69.8,56,0,2.3,clear sky
132,Berwick,US,41.0545,-76.2333,33.01,73,23,6.71,few clouds
133,Arraial Do Cabo,BR,-22.9661,-42.0278,86.0,62,0,10.36,clear sky
134,Georgetown,MY,5.4112,100.3354,84.2,70,20,5.75,few clouds
135,Chilca,PE,-12.5211,-76.7372,73.0,88,0,6.91,clear sky
136,Huangchuan,CN,32.1272,115.0394,45.75,57,0,7.07,clear sky
137,Port Hueneme,US,34.1478,-119.1951,61.0,71,1,11.5,clear sky
138,Thompson,CA,55.7435,-97.8558,-11.2,77,40,6.91,scattered clouds
139,Luwuk,ID,-0.9516,122.7875,79.7,79,100,1.07,light rain
140,Westport,US,41.1415,-73.3579,35.6,69,90,6.91,overcast clouds
141,Nikolskoye,RU,59.7035,30.7861,23.0,86,40,2.24,snow
142,Killybegs,IE,54.6333,-8.45,45.0,100,90,3.44,light rain
143,Lompoc,US,34.6391,-120.4579,55.0,75,0,7.43,clear sky
144,San Carlos De Bariloche,AR,-41.1456,-71.3082,64.4,42,0,3.31,clear sky
145,Nishihara,JP,26.1842,127.7558,60.8,58,20,4.61,few clouds
146,Jamestown,US,42.097,-79.2353,28.0,93,90,10.36,light snow
147,Constitucion,CL,-35.3333,-72.4167,67.19,66,0,6.11,clear sky
148,Jalu,LY,29.0331,21.5482,64.11,40,63,13.96,broken clouds
149,Vilhena,BR,-12.7406,-60.1458,68.0,88,20,10.36,few clouds
150,Touros,BR,-5.1989,-35.4608,84.2,61,75,16.11,broken clouds
151,Shevchenkove,UA,49.6959,37.1735,8.6,85,75,6.71,light snow
152,Am Timan,TD,11.0297,20.2827,96.26,9,0,7.38,clear sky
153,Zapolyarnyy,RU,69.4154,30.8136,19.4,79,0,2.3,clear sky
154,Nantucket,US,41.2835,-70.0995,32.0,59,1,10.36,clear sky
155,Caxito,AO,-8.5785,13.6643,82.4,65,75,6.91,broken clouds
156,Pavelets,RU,53.7883,39.246,-2.29,93,100,3.89,overcast clouds
157,Segezha,RU,63.7415,34.3222,15.69,97,79,9.04,broken clouds
158,Lorengau,PG,-2.0226,147.2712,82.69,77,45,8.68,scattered clouds
159,Xining,CN,36.6167,101.7667,23.41,64,35,2.37,scattered clouds
160,Lima,PE,-12.0432,-77.0282,73.0,88,0,6.91,clear sky
161,Tuktoyaktuk,CA,69.4541,-133.0374,-2.74,91,100,16.67,overcast clouds
162,College,US,64.8569,-147.8028,24.8,58,75,16.11,light snow
163,Port Blair,IN,11.6667,92.75,78.8,76,31,12.5,scattered clouds
164,Srednekolymsk,RU,67.45,153.6833,-44.03,79,45,5.21,scattered clouds
165,Husavik,IS,66.0449,-17.3389,33.8,93,90,12.66,snow
166,Englewood,US,39.6478,-104.9878,26.01,74,90,3.44,overcast clouds
167,Tabira,BR,-7.5908,-37.5394,85.12,42,89,9.17,overcast clouds
168,Hamilton,US,39.1834,-84.5333,33.01,74,90,5.75,overcast clouds
169,Tautira,PF,-17.7333,-149.15,78.8,73,20,3.44,few clouds
170,Hilo,US,19.7297,-155.09,69.8,88,90,3.44,moderate rain
171,Dawson Creek,CA,55.7666,-120.2362,42.8,49,20,14.97,few clouds
172,Dahra,DZ,36.2546,0.8519,57.2,47,0,6.91,clear sky
173,Havre-Saint-Pierre,CA,50.2334,-63.5986,15.8,79,90,14.97,light snow
174,Semme,FR,46.1963,1.5007,48.99,49,0,13.8,clear sky
175,Clifton,US,40.8584,-74.1638,35.6,69,90,6.91,overcast clouds
176,Lebu,CL,-37.6167,-73.65,61.93,78,0,17.85,clear sky
177,Kodiak,US,57.79,-152.4072,30.2,43,1,4.61,clear sky
178,Pisco,PE,-13.7,-76.2167,71.6,78,0,8.05,clear sky
179,Rio Pardo,BR,-29.9897,-52.3781,75.85,52,0,7.43,clear sky
180,Ust-Nera,RU,64.5667,143.2,-18.74,74,100,0.49,overcast clouds
181,Riga,LV,57.0,24.0833,19.4,86,75,8.05,broken clouds
182,Pevek,RU,69.7008,170.3133,-28.12,86,100,4.38,overcast clouds
183,Novikovo,RU,51.1537,37.8879,5.22,93,100,5.26,overcast clouds
184,Divnogorsk,RU,55.9594,92.3619,6.8,72,40,6.71,light snow
185,East London,ZA,-33.0153,27.9116,73.4,73,20,25.32,few clouds
186,Kysyl-Syr,RU,63.8986,122.7617,-51.56,75,61,8.39,broken clouds
187,Acajutla,SV,13.5928,-89.8275,77.41,65,0,5.59,clear sky
188,Salinas,US,36.6777,-121.6555,57.2,18,1,12.66,clear sky
189,Morondava,MG,-20.2833,44.2833,87.87,70,7,17.09,clear sky
190,Sao Filipe,CV,14.8961,-24.4956,75.76,57,100,12.66,overcast clouds
191,Kabale,UG,-1.2486,29.9899,71.98,62,100,6.62,light rain
192,Muravlenko,RU,63.7898,74.523,-24.05,87,82,10.83,broken clouds
193,Huarmey,PE,-10.0681,-78.1522,72.28,75,97,3.33,overcast clouds
194,Inta,RU,66.0317,60.1659,-4.36,92,100,7.43,light snow
195,Namatanai,PG,-3.6667,152.4333,80.01,81,100,8.34,light rain
196,Poum,NC,-20.2333,164.0167,78.17,91,100,6.85,moderate rain
197,Rabo De Peixe,PT,37.8,-25.5833,62.01,77,20,28.77,light rain
198,Nador,MA,35.174,-2.9287,59.0,58,20,4.61,few clouds
199,Bairiki,KI,1.3292,172.9752,78.8,89,40,6.91,light rain
200,Port Hardy,CA,50.6996,-127.4199,44.6,93,90,5.75,overcast clouds
201,Vila Velha,BR,-20.3297,-40.2925,86.0,54,20,13.8,few clouds
202,Sola,VU,-13.8833,167.55,83.03,79,36,11.03,light rain
203,Tiksi,RU,71.6872,128.8694,-25.64,86,100,4.88,overcast clouds
204,Port Elizabeth,ZA,-33.918,25.5701,73.4,78,40,24.16,scattered clouds
205,Douentza,ML,14.9951,-2.9517,91.44,11,6,12.84,clear sky
206,Riyadh,SA,24.6877,46.7219,71.6,20,0,10.36,clear sky
207,Okitipupa,NG,6.5047,4.7839,98.13,34,6,1.63,clear sky
208,Quatre Cocos,MU,-20.2078,57.7625,86.0,74,75,16.11,broken clouds
