City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tashtyp,RU,2021-01-16 21:28:31,52.7939,89.8983,13.87,87,98,0.96
1,Mitu,CO,2021-01-16 21:28:31,1.1983,-70.1733,83.17,82,85,2.93
2,Kargil,IN,2021-01-16 21:28:32,34.5667,76.1,-2.92,64,0,1.74
3,Ushuaia,AR,2021-01-16 21:28:32,-54.8,-68.3,57.2,62,75,16.11
4,Mataura,NZ,2021-01-16 21:28:32,-46.1927,168.8643,70.0,50,100,15.01
5,Pilar,BR,2021-01-16 21:28:32,-9.5972,-35.9567,78.8,73,20,11.5
6,Port Alfred,ZA,2021-01-16 21:28:32,-33.5906,26.891,69.01,83,2,8.99
7,Avarua,CK,2021-01-16 21:28:32,-21.2078,-159.775,84.2,74,20,8.05
8,Hobart,AU,2021-01-16 21:28:32,-42.8794,147.3294,53.6,54,75,10.36
9,Daru,PG,2021-01-16 21:28:32,-9.0763,143.2092,78.12,92,100,8.84
10,Ahipara,NZ,2021-01-16 21:28:32,-35.1667,173.1667,71.31,75,12,9.98
11,Puerto Ayora,EC,2021-01-16 21:28:32,-0.7393,-90.3518,82.4,69,40,9.22
12,Rikitea,PF,2021-01-16 21:28:32,-23.1203,-134.9692,78.4,67,1,5.23
13,Khatanga,RU,2021-01-16 21:28:32,71.9667,102.5,-26.12,84,73,6.33
14,Chuy,UY,2021-01-16 21:28:32,-33.6971,-53.4616,75.99,79,34,12.68
15,Kaitangata,NZ,2021-01-16 21:28:33,-46.2817,169.8464,63.28,65,100,1.66
16,Jasper,US,2021-01-16 21:28:33,37.2001,-94.3502,42.8,52,40,10.36
17,Tarpa,HU,2021-01-16 21:28:33,48.1048,22.5374,23.0,80,90,4.61
18,Fortuna,US,2021-01-16 21:28:33,40.5982,-124.1573,48.2,100,90,10.36
19,Pingxiang,CN,2021-01-16 21:26:24,27.6167,113.85,43.27,63,100,4.0
20,Atuona,PF,2021-01-16 21:28:33,-9.8,-139.0333,78.03,77,4,14.74
21,Hilo,US,2021-01-16 21:28:33,19.7297,-155.09,82.4,57,20,8.05
22,Soe,ID,2021-01-16 21:28:33,-9.8607,124.284,66.69,100,97,1.48
23,Port Lincoln,AU,2021-01-16 21:28:33,-34.7333,135.8667,61.7,78,86,11.14
24,Hermanus,ZA,2021-01-16 21:28:33,-34.4187,19.2345,64.0,84,0,4.9
25,Thompson,CA,2021-01-16 21:28:33,55.7435,-97.8558,15.8,86,90,5.75
26,Andenes,NO,2021-01-16 21:26:34,69.3143,16.1194,36.0,93,20,9.22
27,Muros,ES,2021-01-16 21:28:33,42.7762,-9.0603,50.0,89,0,2.42
28,Kruisfontein,ZA,2021-01-16 21:28:34,-34.0033,24.7314,68.0,73,24,4.0
29,Vaini,TO,2021-01-16 21:28:34,-21.2,-175.2,86.0,79,40,11.5
30,Oistins,BB,2021-01-16 21:28:34,13.0667,-59.5333,80.6,65,20,17.27
31,Codrington,AU,2021-01-16 21:28:34,-38.2667,141.9667,56.01,67,96,9.86
32,Westport,US,2021-01-16 21:28:34,41.1415,-73.3579,44.6,76,90,13.8
33,Ladispoli,IT,2021-01-16 21:28:34,41.9537,12.0735,41.0,64,0,4.61
34,Lavrentiya,RU,2021-01-16 21:28:34,65.5833,-171.0,-9.8,84,100,9.53
35,Cape Town,ZA,2021-01-16 21:28:04,-33.9258,18.4232,66.99,82,0,3.44
36,West Wendover,US,2021-01-16 21:28:34,40.7391,-114.0733,44.6,53,1,6.91
37,Rio Gallegos,AR,2021-01-16 21:28:34,-51.6226,-69.2181,69.8,32,75,14.97
38,Barrow,US,2021-01-16 21:28:34,71.2906,-156.7887,-0.4,71,90,19.57
39,Kimbe,PG,2021-01-16 21:28:35,-5.5502,150.1429,78.69,82,72,3.69
40,Lebu,CL,2021-01-16 21:28:35,-37.6167,-73.65,60.57,70,0,19.39
41,Deputatskiy,RU,2021-01-16 21:28:35,69.3,139.9,-22.86,89,100,2.37
42,Hambantota,LK,2021-01-16 21:28:35,6.1241,81.1185,73.4,100,100,3.44
43,Hithadhoo,MV,2021-01-16 21:28:35,-0.6,73.0833,80.78,76,96,10.45
44,Carnarvon,AU,2021-01-16 21:28:35,-24.8667,113.6333,80.6,74,78,6.91
45,Charters Towers,AU,2021-01-16 21:28:35,-20.1,146.2667,72.55,88,100,8.72
46,Punta Arenas,CL,2021-01-16 21:28:35,-53.15,-70.9167,57.2,72,90,16.11
47,Yellowknife,CA,2021-01-16 21:28:35,62.456,-114.3525,-4.0,77,75,5.75
48,Airai,TL,2021-01-16 21:28:35,-8.9266,125.4092,62.06,100,100,0.36
49,Mogadishu,SO,2021-01-16 21:28:35,2.0371,45.3438,76.8,84,0,19.71
50,Qaanaaq,GL,2021-01-16 21:28:35,77.484,-69.3632,5.54,90,97,5.21
51,Kapaa,US,2021-01-16 21:28:35,22.0752,-159.319,78.8,78,40,8.05
52,East London,ZA,2021-01-16 21:28:36,-33.0153,27.9116,70.43,67,2,19.62
53,Saurimo,AO,2021-01-16 21:28:36,-9.6608,20.3916,64.78,94,98,2.8
